,Photo produit 1,Photo produit 2,Nom produit,Lien achat,Catégorie produit,Genre,cielab_colors
24,https://wasted.fr/cdn/shop/products/t-shirt-vice-903626_2048x2048.jpg?v=1706147932,-,T-Shirt Vice,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-vice,T-shirt,H/F,"[10.588235294117647, 0.0, 0.0]"
25,https://wasted.fr/cdn/shop/products/t-shirt-vice-841559_2048x2048.jpg?v=1706147928,-,T-Shirt Vice,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-vice-1,T-shirt,H/F,"[72.15686274509804, 13.0, 5.0]"
26,https://wasted.fr/cdn/shop/products/t-shirt-mesh-blind-547042_2048x2048.jpg?v=1706147933,-,T-shirt Mesh Blind,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-mesh-blind,T-shirt,H/F,"[12.941176470588237, 1.0, 1.0]"
27,https://wasted.fr/cdn/shop/files/t-shirt-atrax-878327_2048x2048.jpg?v=1712661746,-,T-Shirt Atrax,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-atrax,T-shirt,H/F,"[10.588235294117647, 0.0, 0.0]"
28,https://wasted.fr/cdn/shop/files/t-shirt-atrax-491186_2048x2048.jpg?v=1712661749,-,T-Shirt Atrax,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-atrax-1,T-shirt,H/F,"[91.76470588235294, 0.0, 0.0]"
29,https://wasted.fr/cdn/shop/files/t-shirt-atrax-491186_2048x2048.jpg?v=1712661749,-,T-Shirt Atrax,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-atrax-1,T-shirt,H/F,"[93.72549019607843, 0.0, 0.0]"
30,https://wasted.fr/cdn/shop/files/t-shirt-corruption-932924_2048x2048.jpg?v=1712661758,-,T-Shirt Corruption,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-corruption-1,T-shirt,H/F,"[43.13725490196079, -8.0, 6.0]"
31,https://wasted.fr/cdn/shop/files/t-shirt-destroy-never-comes-372920_2048x2048.jpg?v=1712661759,-,T-Shirt Destroy Never Comes,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-destroy-never-comes,T-shirt,H/F,"[18.43137254901961, 0.0, 0.0]"
32,https://wasted.fr/cdn/shop/files/t-shirt-destroy-never-comes-758725_2048x2048.jpg?v=1712661757,-,T-Shirt Destroy Never Comes,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-destroy-never-comes-1,T-shirt,H/F,"[86.66666666666667, 7.0, 2.0]"
33,https://wasted.fr/cdn/shop/files/t-shirt-london-824102_2048x2048.jpg?v=1712661748,-,T-Shirt London,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-london,T-shirt,H/F,"[10.588235294117647, 0.0, 0.0]"
34,https://wasted.fr/cdn/shop/files/t-shirt-london-264034_2048x2048.jpg?v=1712661748,-,T-Shirt London,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-london-1,T-shirt,H/F,"[93.33333333333333, 0.0, 0.0]"
35,https://wasted.fr/cdn/shop/files/t-shirt-london-264034_2048x2048.jpg?v=1712661748,-,T-Shirt London,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-london-1,T-shirt,H/F,"[90.98039215686275, 0.0, 0.0]"
36,https://wasted.fr/cdn/shop/files/t-shirt-nighters-165248_2048x2048.jpg?v=1712661749,-,T-Shirt Nighters,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-nighter,T-shirt,H/F,"[10.588235294117647, 0.0, 0.0]"
37,https://wasted.fr/cdn/shop/files/t-shirt-nighters-254009_2048x2048.jpg?v=1712661751,-,T-Shirt Nighters,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-nighters,T-shirt,H/F,"[72.15686274509804, 13.0, 5.0]"
38,https://wasted.fr/cdn/shop/files/t-shirt-sacrifice-991382_2048x2048.jpg?v=1712661905,-,T-Shirt Sacrifice,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-sacrifice,T-shirt,H/F,"[9.803921568627452, 2.0, 0.0]"
39,https://wasted.fr/cdn/shop/files/t-shirt-sentence-739146_2048x2048.jpg?v=1712661894,-,T-Shirt Sentence,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-sentence,T-shirt,H/F,"[77.25490196078432, 0.0, 0.0]"
40,https://wasted.fr/cdn/shop/files/t-shirt-sentence-124463_2048x2048.jpg?v=1712661896,-,T-Shirt Sentence,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-sentence-1,T-shirt,H/F,"[42.745098039215684, -9.0, 7.0]"
41,https://wasted.fr/cdn/shop/files/t-shirt-stake-295577_2048x2048.jpg?v=1712661902,-,T-Shirt Stake,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-stake,T-shirt,H/F,"[10.588235294117647, 0.0, 0.0]"
42,https://wasted.fr/cdn/shop/files/t-shirt-stake-173689_2048x2048.jpg?v=1712661904,-,T-Shirt Stake,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-stake-1,T-shirt,H/F,"[71.76470588235294, 12.0, 75.0]"
43,https://wasted.fr/cdn/shop/files/t-shirt-undead-876539_2048x2048.jpg?v=1712661899,-,T-Shirt Undead,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-undead,T-shirt,H/F,"[19.607843137254903, 1.0, -1.0]"
44,https://wasted.fr/cdn/shop/files/hoodie-scythe-669999_2048x2048.jpg?v=1721324411,-,Hoodie Scythe,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-spirit,Hoodie,H/F,"[13.333333333333334, 0.0, 0.0]"
45,https://wasted.fr/cdn/shop/files/hoodie-scythe-669999_2048x2048.jpg?v=1721324411,-,Hoodie Scythe,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-spirit,Hoodie,H/F,"[21.176470588235293, 1.0, 0.0]"
46,https://wasted.fr/cdn/shop/files/hoodie-vault-534097_2048x2048.jpg?v=1721324420,-,Hoodie Vault,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-vault,Hoodie,H/F,"[9.411764705882353, 0.0, -1.0]"
47,https://wasted.fr/cdn/shop/files/crewneck-acid-196424_2048x2048.jpg?v=1721324404,-,Crewneck Acid,https://wasted.fr/collections/hoodies-sweats-2/products/crewneck-acid,Hoodie,H/F,"[7.450980392156863, 0.0, 1.0]"
48,https://wasted.fr/cdn/shop/files/hoodie-blast-447421_2048x2048.jpg?v=1721324402,-,Hoodie Blast,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-blast,Hoodie,H/F,"[78.43137254901961, 0.0, 0.0]"
49,https://wasted.fr/cdn/shop/files/hoodie-blast-447421_2048x2048.jpg?v=1721324402,-,Hoodie Blast,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-blast,Hoodie,H/F,"[69.41176470588235, 0.0, 0.0]"
50,https://wasted.fr/cdn/shop/files/hoodie-worst-208249_2048x2048.jpg?v=1721324413,-,Hoodie Worst,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-worst,Hoodie,H/F,"[75.68627450980392, 2.0, 9.0]"
51,https://wasted.fr/cdn/shop/files/hoodie-middle-179491_2048x2048.jpg?v=1730547781,-,Hoodie Middle,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-middle,Hoodie,H/F,"[9.411764705882353, 0.0, 0.0]"
52,https://wasted.fr/cdn/shop/files/hoodie-middle-230422_2048x2048.jpg?v=1730547780,-,Hoodie Middle,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-middle-1,Hoodie,H/F,"[74.90196078431373, 15.0, -2.0]"
53,https://wasted.fr/cdn/shop/products/hoodie-telly-savage-870009_2048x2048.jpg?v=1679343705,-,Hoodie Telly Savage,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-telly-savage-1,Hoodie,H/F,"[52.94117647058824, 62.0, 49.0]"
